title,stars,text,publishedAtDate,likesCount,name,reviewerNumberOfReviews,isLocalGuide,responseFromOwnerDate,responseFromOwnerText,publishAt,rating,reviewContext/Meal type,reviewContext/Parking space,reviewContext/Price per person,reviewContext/Recommendation for vegetarians,reviewContext/Service,reviewDetailedRating/Atmosphere,reviewDetailedRating/Food,reviewDetailedRating/Service,reviewId,reviewImageUrls/0,reviewImageUrls/1,reviewImageUrls/2,reviewImageUrls/3,reviewImageUrls/4,reviewOrigin,reviewUrl,reviewerId,reviewerPhotoUrl,reviewerUrl,textTranslated,reviewContext/Parking type options,reviewImageUrls/5,reviewImageUrls/6,reviewImageUrls/7,reviewImageUrls/8,reviewImageUrls/9,reviewImageUrls/10,reviewImageUrls/11,reviewImageUrls/12,reviewImageUrls/13,reviewImageUrls/14,reviewImageUrls/15,reviewImageUrls/16
Bravo's Méxican Grill,5,,2024-04-11T14:06:54.632Z,0,,4,FALSE,,,a week ago,,,,,,,4,5,5,ChdDSUhNMG9nS0VJQ0FnSUREMmNqOTl3RRAB,,,,,,Google,,117958081581126936065,,,,,,,,,,,,,,,,
Bravo's Méxican Grill,5,"Update: I can't brag about this place enough. The past 3 years they haven't missed a beat! The salsa is amazing and I think I'm underselling it because there's no way salsa should be that good, it's almost criminal. I'm not exaggerating.🤌 Customer service is great. The staff is just wonderful and I always feel like I'm going to see friends when I'm there.
-
I went when it wasn't very busy a little before dinner. Normally these down times come with a lackluster experience at some places but the quality, comfort and attentiveness was still on point. I normally get ACP as a go-to when I'm trying a new place, but I tried something different this time and I think I've been converted from my normal selection now. Try the Pollo Ranchero for sure!",2024-04-11T02:10:45.731Z,1,,28,TRUE,,,a week ago,,Dinner,,$10–20,,Dine in,5,5,5,ChZDSUhNMG9nS0VJQ0FnSURLenZpNUpnEAE,https://lh5.googleusercontent.com/p/AF1QipMZLPIPpcgZaEXn4jY8TaI2JR_twj8nwEK5gqP_=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipOptpvA-aJOpG8hQ0Lb9QlVUi_tffzL_Reuj_tr=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipP7fZ1WKZprEek12K9bL-LnfI2yZ75kLWepGXa2=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipPkKYMgAUa_Tj57IT2Ip_yXdtxZsGAs6YdCUkai=w150-h150-k-no-p,https://lh5.googleusercontent.com/p/AF1QipM91RYw_puWD1pWHa7cJQrl1-7sNG9gnY-BGTnd=w150-h150-k-no-p,Google,,100711565280782867382,,,,,https://lh5.googleusercontent.com/p/AF1QipO0J8eR0gguk2pEhOmFeX8orjgbbdr8aJKZr-l7=w150-h150-k-no-p,,,,,,,,,,,
Bravo's Méxican Grill,5,This is a great casual place. Food and drinks are wonderful.,2024-04-03T19:07:24.676Z,0,,57,FALSE,,,2 weeks ago,,Lunch,,$10–20,,Dine in,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUNEMzRDQnp3RRAB,,,,,,Google,,105436571703686761570,,,,,,,,,,,,,,,,
Bravo's Méxican Grill,5,,2024-04-01T19:33:09.764Z,0,,16,TRUE,,,3 weeks ago,,Dinner,,$1–10,,Dine in,4,5,4,ChZDSUhNMG9nS0VJQ0FnSUNENjVpeFN3EAE,,,,,,Google,,104015149238767048760,,,,,,,,,,,,,,,,
Bravo's Méxican Grill,4,,2024-03-30T19:32:38.984Z,0,,9,FALSE,,,3 weeks ago,,Lunch,,$10–20,,Dine in,5,4,4,ChZDSUhNMG9nS0VJQ0FnSUNEbGNLWFZ3EAE,,,,,,Google,,100352713540663459948,,,,,,,,,,,,,,,,
Bravo's Méxican Grill,5,"Our wait staff was awesome, very attentive, and friendly. It took a bit of time to get the food out, but we were a large party. Everyone was satisfied with the food, and the drinks were delicious. The portion sizes were good, and many of us had leftovers to take home. The restaurant and bathrooms were clean - big plus - and well stocked. We had a good time and even chatted with a few other patrons, so that says they attract a quality crowd. Great first experience!",2024-03-18T00:17:01.335Z,0,,15,TRUE,,,a month ago,,,,$10–20,Highly recommend,,5,5,4,ChdDSUhNMG9nS0VJQ0FnSUQ5c2ZUWDZRRRAB,,,,,,Google,,109199007489429191299,,,,,,,,,,,,,,,,
Bravo's Méxican Grill,5,,2024-03-14T20:20:06.568Z,0,,1,FALSE,,,a month ago,,,,,,,5,5,5,ChdDSUhNMG9nS0VJQ0FnSUQ5NHNqY25nRRAB,,,,,,Google,,101352469978263405143,,,,,,,,,,,,,,,,
Bravo's Méxican Grill,5,,2024-03-11T17:28:20.871Z,0,,43,TRUE,,,a month ago,,,,,,,5,5,5,ChZDSUhNMG9nS0VJQ0FnSUM5bl9PTlNBEAE,,,,,,Google,,108002755285212974353,,,,,,,,,,,,,,,,
Bravo's Méxican Grill,4,The food is good,2024-02-28T04:40:25.223Z,0,,23,TRUE,,,a month ago,,Brunch,,$10–20,,Dine in,4,5,4,ChZDSUhNMG9nS0VJQ0FnSURkcDRISFlBEAE,,,,,,Google,,113156163658554620625,,,,,,,,,,,,,,,,
Bravo's Méxican Grill,5,"Hidden gem.

Took my son there after school and it was a fantastic choice.

Friendly staff and great food, highly recommended.",2024-02-27T12:10:47.348Z,0,,118,TRUE,,,a month ago,,Dinner,,$10–20,,Dine in,5,5,5,ChZDSUhNMG9nS0VJQ0FnSURkbThDRFFnEAE,,,,,,Google,,102268774559157526471,,,,,,,,,,,,,,,,
